Image,Frequency_Preservation,Frequency_Error
000000,0.6672577916719895,0.33274220832801044
000001,0.6580415891753403,0.34195841082465966
000002,0.5648441135839803,0.43515588641601965
000003,0.49602606575509417,0.5039739342449058
000004,0.420434924098562,0.579565075901438
000005,0.20374914328344904,0.7962508567165509
000006,0.18247477173182922,0.8175252282681708
000007,0.21181744238334355,0.7881825576166565
000008,0.46911620456793146,0.5308837954320685
000009,0.4167143193529021,0.5832856806470978
000010,0.45678364360250434,0.5432163563974957
000011,0.39733366419433375,0.6026663358056662
000012,0.33280577791402816,0.6671942220859718
000013,0.48173625265676656,0.5182637473432334
000014,0.5126689627345303,0.4873310372654696
000015,0.4578777299083383,0.5421222700916617
000016,0.7062899710665446,0.2937100289334555
000017,0.773611379327958,0.226388620672042
000018,0.8193064155104017,0.18069358448959824
000019,0.7861503216473942,0.21384967835260582
000020,0.3121961692327717,0.6878038307672283
000021,0.5208366772657865,0.4791633227342135
000022,0.5283245615479905,0.47167543845200954
000023,0.5068056850129822,0.4931943149870178
000024,0.376752190257205,0.623247809742795
000025,0.42730453036919985,0.5726954696308001
000026,0.41730717367229014,0.5826928263277098
000027,0.43944292608599694,0.5605570739140031
000028,0.3090586352275922,0.6909413647724079
000029,0.6469434453010847,0.3530565546989153
000030,0.5037134758146253,0.49628652418537467
000031,0.6341723597675821,0.3658276402324178
000032,0.5221407457366606,0.47785925426333936
000033,0.6562179039556996,0.34378209604430043
000034,0.6311007793991243,0.36889922060087565
000035,0.6902413029090737,0.30975869709092635
000036,0.39241231869830717,0.6075876813016928
000037,0.19470454728688,0.80529545271312
000038,0.29823238889338033,0.7017676111066197
000039,0.18255638030961058,0.8174436196903895
000040,0.5963372078910016,0.4036627921089984
000041,0.7611756302359978,0.23882436976400223
000042,0.811177290625114,0.18882270937488602
000043,0.7429117511176884,0.25708824888231163
000044,0.4997683675466685,0.5002316324533316
000045,0.4432652945830839,0.5567347054169162
000046,0.4826665183915535,0.5173334816084465
000047,0.42020773241465853,0.5797922675853414
000048,0.5108790305160342,0.48912096948396583
000049,0.1913849799682009,0.8086150200317991
000050,0.2070326146360174,0.7929673853639826
000051,0.22855088170439522,0.7714491182956048
000052,0.015983216523043593,0.9840167834769564
000053,0.5202578417993419,0.47974215820065813
000054,0.551487043723769,0.448512956276231
000055,0.5966382283912569,0.4033617716087431
000056,0.7278977466109847,0.2721022533890152
000057,0.08122079188074872,0.9187792081192513
000058,0.041447318617774356,0.9585526813822256
000059,0.07819626329045823,0.9218037367095417
000060,0.41430242325069344,0.5856975767493066
000061,0.26289776773028944,0.7371022322697105
000062,0.3591477604610411,0.640852239538959
000063,0.2624197086453662,0.7375802913546338
000064,0.6054232550307317,0.3945767449692683
000065,0.5613122219849173,0.4386877780150828
000066,0.543751372832046,0.45624862716795395
000067,0.4097887683760127,0.5902112316239874
000068,0.4740713119837119,0.5259286880162881
000069,0.6668866713835176,0.3331133286164824
000070,0.7206434924853433,0.2793565075146567
000071,0.6937724637342714,0.3062275362657286
000072,0.5242059051329923,0.47579409486700774
000073,0.40078266796242024,0.5992173320375798
000074,0.4705936780571066,0.5294063219428934
000075,0.5166348137404854,0.48336518625951463
000076,0.9735826836364149,0.026417316363585176
000077,0.4374826640553635,0.5625173359446365
000078,0.26930620703597485,0.7306937929640251
000079,0.4321588471166923,0.5678411528833077
000080,0.45605376790268615,0.5439462320973139
000081,0.4909162869874598,0.5090837130125402
000082,0.5095904066156577,0.49040959338434226
000083,0.4911050151448024,0.5088949848551976
000084,0.43214211411720266,0.5678578858827974
000085,0.46928026711331666,0.5307197328866833
000086,0.43953112959756285,0.5604688704024371
000087,0.4078096746651811,0.592190325334819
000088,1.0,0.09162008395300773
000089,0.8850949636544574,0.11490503634554257
000090,0.6848290452488731,0.3151709547511269
000091,0.6909731987233697,0.3090268012766303
000092,0.39444014238677794,0.6055598576132221
000093,0.4009075118841953,0.5990924881158046
000094,0.4671800021597542,0.5328199978402458
000095,0.42405497024246686,0.5759450297575331
000096,0.4584354617427434,0.5415645382572566
000097,0.35343128881324826,0.6465687111867517
000098,0.29396027944017455,0.7060397205598254
000099,0.32622128390672944,0.6737787160932706
000100,0.5070337845453066,0.49296621545469343
000101,0.09278628652823595,0.907213713471764
000102,0.18119003659673355,0.8188099634032664
000103,0.12778497899210922,0.8722150210078907
000104,0.7215271582382347,0.2784728417617653
000105,0.975339977255959,0.024660022744040992
000106,1.0,0.014467302196277183
000107,1.0,0.04296873523868547
000108,0.4471579609618837,0.5528420390381162
000109,0.6131639666666061,0.3868360333333939
000110,0.6242807183621714,0.37571928163782864
000111,0.6426990270184469,0.357300972981553
000112,0.5089459149199308,0.4910540850800692
000113,0.4574593026712215,0.5425406973287785
000114,0.5356295529560389,0.46437044704396113
000115,0.4602356947467672,0.5397643052532328
000116,0.40291526861259885,0.5970847313874011
000117,0.33514256920679103,0.6648574307932089
